Age,Female,Male,Unknown
0,1.0,1.0,2.0
1,1.0,1.0,6.0
10,1.0,,1.0
100,,1.0,
11,1.0,2.0,1.0
12,1.0,4.0,4.0
13,,3.0,3.0
14,1.0,11.0,4.0
15,3.0,8.0,15.0
16,8.0,19.0,25.0
17,13.0,37.0,18.0
18,19.0,66.0,34.0
19,23.0,71.0,28.0
2,1.0,2.0,2.0
20,23.0,83.0,24.0
21,23.0,98.0,41.0
22,23.0,102.0,25.0
23,27.0,72.0,25.0
24,27.0,84.0,18.0
25,16.0,68.0,19.0
26,15.0,73.0,15.0
27,16.0,58.0,7.0
28,15.0,61.0,8.0
29,15.0,59.0,9.0
3,,4.0,1.0
30,14.0,37.0,6.0
31,14.0,42.0,7.0
32,9.0,59.0,7.0
33,13.0,45.0,9.0
34,12.0,31.0,8.0
35,13.0,45.0,8.0
36,8.0,57.0,4.0
37,6.0,51.0,5.0
38,10.0,45.0,10.0
39,9.0,38.0,6.0
4,3.0,4.0,2.0
40,10.0,52.0,7.0
41,6.0,35.0,
42,12.0,37.0,9.0
43,13.0,61.0,7.0
44,9.0,37.0,9.0
45,5.0,39.0,7.0
46,13.0,56.0,5.0
47,21.0,50.0,5.0
48,12.0,54.0,5.0
49,13.0,57.0,5.0
5,,3.0,3.0
50,12.0,57.0,6.0
51,16.0,56.0,4.0
52,9.0,48.0,6.0
53,11.0,51.0,4.0
54,11.0,35.0,4.0
55,17.0,44.0,2.0
56,9.0,40.0,3.0
57,9.0,39.0,6.0
58,17.0,39.0,2.0
59,18.0,28.0,1.0
6,1.0,2.0,1.0
60,11.0,30.0,3.0
61,12.0,27.0,
62,15.0,22.0,7.0
63,14.0,32.0,3.0
64,10.0,33.0,2.0
65,12.0,25.0,2.0
66,6.0,19.0,1.0
67,12.0,22.0,3.0
68,8.0,23.0,4.0
69,10.0,15.0,1.0
7,1.0,2.0,2.0
70,7.0,13.0,2.0
71,10.0,15.0,5.0
72,10.0,16.0,2.0
73,10.0,14.0,1.0
74,6.0,12.0,2.0
75,14.0,14.0,7.0
76,11.0,19.0,3.0
77,6.0,12.0,5.0
78,6.0,19.0,1.0
79,14.0,20.0,4.0
8,,3.0,2.0
80,6.0,15.0,1.0
81,8.0,13.0,6.0
82,8.0,18.0,4.0
83,8.0,15.0,5.0
84,4.0,12.0,4.0
85,17.0,16.0,4.0
86,8.0,12.0,5.0
87,6.0,8.0,2.0
88,10.0,12.0,2.0
89,3.0,8.0,1.0
9,1.0,2.0,6.0
90,5.0,9.0,3.0
91,4.0,4.0,1.0
92,3.0,5.0,1.0
93,3.0,3.0,2.0
94,1.0,1.0,
95,2.0,1.0,1.0
96,1.0,,1.0
99,1.0,,
