Town,AvFatalities
Andover,4
Ansonia,1
Ashford,3
Avon,2
Barkhamsted,3
Beacon Falls,2
Berlin,13
Bethany,4
Bethel,3
Bethlehem,1
Bloomfield,17
Bolton,4
Bozrah,4
Branford,9
Bridgeport,45
Bridgewater,2
Bristol,21
Brookfield,9
Brooklyn,8
Burlington,1
Canaan,3
Canterbury,3
Canton,5
Chaplin,3
Cheshire,11
Chester,2
Clinton,4
Colchester,5
Colebrook,1
Columbia,5
Coventry,8
Cromwell,7
Danbury,32
Darien,3
Deep River,4
Derby,4
Durham,4
East Granby,4
East Haddam,7
East Hampton,5
East Hartford,31
East Haven,15
East Lyme,8
East Windsor,5
Eastford,4
Easton,1
Ellington,3
Enfield,17
Essex,4
Fairfield,15
Farmington,16
Franklin,2
Glastonbury,4
Goshen,1
Granby,7
Greenwich,12
Griswold,7
Groton,6
Guilford,10
Haddam,3
Hamden,12
Hampton,2
Hartford,46
Hartland,2
Harwinton,10
Hebron,11
Kent,1
Killingly,15
Killingworth,2
Lebanon,5
Ledyard,11
Litchfield,6
Lyme,2
Madison,6
Manchester,19
Mansfield,9
Marlborough,7
Meriden,21
Middlebury,8
Middlefield,1
Middletown,13
Milford,15
Monroe,5
Montville,10
Morris,1
Naugatuck,4
New Britain,18
New Canaan,1
New Fairfield,5
New Hartford,7
New Haven,57
New London,5
New Milford,11
Newington,9
Newtown,9
Norfolk,1
North Branford,5
North Canaan,4
North Haven,17
North Stonington,7
Norwalk,24
Norwich,21
Old Lyme,14
Old Saybrook,7
Orange,11
Oxford,4
Plainfield,8
Plainville,6
Plymouth,3
Pomfret,3
Portland,13
Preston,10
Prospect,4
Putnam,7
Ridgefield,2
Rocky Hill,9
Roxbury,3
Salem,3
Salisbury,4
Seymour,4
Shelton,21
Sherman,2
Simsbury,5
Somers,6
South Windsor,4
Southbury,10
Southington,22
Sprague,2
Stafford,3
Stamford,34
Sterling,2
Stonington,11
Stratford,16
Suffield,6
Thomaston,2
Thompson,7
Tolland,5
Torrington,11
Trumbull,12
Union,3
Vernon,8
Voluntown,2
Wallingford,18
Warren,2
Washington,5
Waterbury,69
Waterford,8
Watertown,6
West Hartford,13
West Haven,16
Westbrook,4
Westport,14
Wethersfield,12
Willington,9
Wilton,4
Windham,9
Windsor,4
Windsor Locks,4
Wolcott,2
Woodbridge,5
Woodbury,6
Woodstock,5
